YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2011,201102,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),137
2011,201102,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),484
2011,201102,충북,단독,단독,단독,81
2011,201102,충북,단독,다가구,동수,44
2011,201102,충북,단독,다가구,가구수,391
2011,201102,충북,다세대,다세대,다세대,12
2011,201102,충북,연립,연립,연립,0
2011,201102,충북,아파트,아파트,아파트,0
2011,201102,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),389
2011,201102,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),984
2011,201102,충남,단독,단독,단독,80
2011,201102,충남,단독,다가구,동수,47
2011,201102,충남,단독,다가구,가구수,642
2011,201102,충남,다세대,다세대,다세대,16
2011,201102,충남,연립,연립,연립,16
2011,201102,충남,아파트,아파트,아파트,230
2011,201102,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1533
2011,201102,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1913
2011,201102,전북,단독,단독,단독,67
2011,201102,전북,단독,다가구,동수,52
2011,201102,전북,단독,다가구,가구수,432
2011,201102,전북,다세대,다세대,다세대,0
2011,201102,전북,연립,연립,연립,0
2011,201102,전북,아파트,아파트,아파트,1414
2011,201102,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),205
2011,201102,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),385
2011,201102,전남,단독,단독,단독,178
2011,201102,전남,단독,다가구,동수,27
2011,201102,전남,단독,다가구,가구수,207
2011,201102,전남,다세대,다세대,다세대,0
2011,201102,전남,연립,연립,연립,0
2011,201102,전남,아파트,아파트,아파트,0
2011,201102,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),293
2011,201102,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),725
2011,201102,경북,단독,단독,단독,131
2011,201102,경북,단독,다가구,동수,49
2011,201102,경북,단독,다가구,가구수,481
2011,201102,경북,다세대,다세대,다세대,0
2011,201102,경북,연립,연립,연립,0
2011,201102,경북,아파트,아파트,아파트,113
2011,201102,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),470
2011,201102,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),926
2011,201102,경남,단독,단독,단독,158
2011,201102,경남,단독,다가구,동수,98
2011,201102,경남,단독,다가구,가구수,554
2011,201102,경남,다세대,다세대,다세대,8
2011,201102,경남,연립,연립,연립,12
2011,201102,경남,아파트,아파트,아파트,194
2011,201102,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),330
2011,201102,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),429
2011,201102,제주,단독,단독,단독,44
2011,201102,제주,단독,다가구,동수,19
2011,201102,제주,단독,다가구,가구수,118
2011,201102,제주,다세대,다세대,다세대,71
2011,201102,제주,연립,연립,연립,46
2011,201102,제주,아파트,아파트,아파트,150
2011,201103,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),24744
2011,201103,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),32162
2011,201103,총계,단독,단독,단독,1783
2011,201103,총계,단독,다가구,동수,1074
2011,201103,총계,단독,다가구,가구수,8492
2011,201103,총계,다세대,다세대,다세대,2907
2011,201103,총계,연립,연립,연립,437
2011,201103,총계,아파트,아파트,아파트,18543
2011,201103,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),14905
2011,201103,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),15900
