월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-02,대구,단독,다가구,동수,81
2011-02,대구,단독,다가구,가구수,644
2011-02,대구,다세대,다세대,다세대,34
2011-02,대구,연립,연립,연립,0
2011-02,대구,아파트,아파트,아파트,0
2011-02,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),47
2011-02,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),406
2011-02,광주,단독,단독,단독,13
2011-02,광주,단독,다가구,동수,34
2011-02,광주,단독,다가구,가구수,393
2011-02,광주,다세대,다세대,다세대,0
2011-02,광주,연립,연립,연립,0
2011-02,광주,아파트,아파트,아파트,0
2011-02,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),188
2011-02,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),684
2011-02,대전,단독,단독,단독,25
2011-02,대전,단독,다가구,동수,63
2011-02,대전,단독,다가구,가구수,559
2011-02,대전,다세대,다세대,다세대,0
2011-02,대전,연립,연립,연립,0
2011-02,대전,아파트,아파트,아파트,100
2011-02,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),153
2011-02,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),549
2011-02,울산,단독,단독,단독,34
2011-02,울산,단독,다가구,동수,59
2011-02,울산,단독,다가구,가구수,455
2011-02,울산,다세대,다세대,다세대,0
2011-02,울산,연립,연립,연립,0
2011-02,울산,아파트,아파트,아파트,60
2011-02,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4,158
2011-02,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),9,402
2011-02,기타지방,단독,단독,단독,1,386
2011-02,기타지방,단독,다가구,동수,744
2011-02,기타지방,단독,다가구,가구수,5,988
2011-02,기타지방,다세대,다세대,다세대,230
2011-02,기타지방,연립,연립,연립,1
2011-02,기타지방,아파트,아파트,아파트,1,797
2011-02,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),614
2011-02,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),718
2011-02,강원,단독,단독,단독,127
2011-02,강원,단독,다가구,동수,36
2011-02,강원,단독,다가구,가구수,140
2011-02,강원,다세대,다세대,다세대,0
2011-02,강원,연립,연립,연립,0
2011-02,강원,아파트,아파트,아파트,451
2011-02,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),338
2011-02,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,170
2011-02,충북,단독,단독,단독,153
2011-02,충북,단독,다가구,동수,108
2011-02,충북,단독,다가구,가구수,940
2011-02,충북,다세대,다세대,다세대,77
2011-02,충북,연립,연립,연립,0
2011-02,충북,아파트,아파트,아파트,0
2011-02,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),329
2011-02,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,335
2011-02,충남,단독,단독,단독,202
2011-02,충남,단독,다가구,동수,89
2011-02,충남,단독,다가구,가구수,1,095
2011-02,충남,다세대,다세대,다세대,38
2011-02,충남,연립,연립,연립,0
2011-02,충남,아파트,아파트,아파트,0
2011-02,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),248
2011-02,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),976
2011-02,전북,단독,단독,단독,125
2011-02,전북,단독,다가구,동수,91
2011-02,전북,단독,다가구,가구수,819
2011-02,전북,다세대,다세대,다세대,0
2011-02,전북,연립,연립,연립,0
2011-02,전북,아파트,아파트,아파트,32
2011-02,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),626
2011-02,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),937
2011-02,전남,단독,단독,단독,290
2011-02,전남,단독,다가구,동수,79
2011-02,전남,단독,다가구,가구수,390
2011-02,전남,다세대,다세대,다세대,0
2011-02,전남,연립,연립,연립,1
2011-02,전남,아파트,아파트,아파트,256
2011-02,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),404
2011-02,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,310
2011-02,경북,단독,단독,단독,237
2011-02,경북,단독,다가구,동수,87
2011-02,경북,단독,다가구,가구수,993
2011-02,경북,다세대,다세대,다세대,48
2011-02,경북,연립,연립,연립,0
2011-02,경북,아파트,아파트,아파트,32
2011-02,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,152
2011-02,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,387
2011-02,경남,단독,단독,단독,216
2011-02,경남,단독,다가구,동수,219
2011-02,경남,단독,다가구,가구수,1,454
2011-02,경남,다세대,다세대,다세대,44
2011-02,경남,연립,연립,연립,0
2011-02,경남,아파트,아파트,아파트,673
2011-02,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),447
2011-02,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),569
2011-02,제주,단독,단독,단독,36
2011-02,제주,단독,다가구,동수,35
2011-02,제주,단독,다가구,가구수,157
2011-02,제주,다세대,다세대,다세대,23
2011-02,제주,연립,연립,연립,0
2011-02,제주,아파트,아파트,아파트,353
2011-02,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),
2011-02,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),
2011-02,세종,단독,단독,단독,
2011-02,세종,단독,다가구,동수,
2011-02,세종,단독,다가구,가구수,
2011-02,세종,다세대,다세대,다세대,
2011-02,세종,연립,연립,연립,
2011-02,세종,아파트,아파트,아파트,
2011-03,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),29,567
2011-03,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),45,403
2011-03,총계,단독,단독,단독,4,993
2011-03,총계,단독,다가구,동수,2,431
2011-03,총계,단독,다가구,가구수,18,267
2011-03,총계,다세대,다세대,다세대,7,632
2011-03,총계,연립,연립,연립,808
2011-03,총계,아파트,아파트,아파트,13,703
2011-03,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),17,135
2011-03,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),20,153
2011-03,수도권소계,단독,단독,단독,1,182
2011-03,수도권소계,단독,다가구,동수,654
2011-03,수도권소계,단독,다가구,가구수,3,672
2011-03,수도권소계,다세대,다세대,다세대,5,810
2011-03,수도권소계,연립,연립,연립,195
2011-03,수도권소계,아파트,아파트,아파트,9,294
2011-03,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),8,842
2011-03,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),9,477
2011-03,서울,단독,단독,단독,180
2011-03,서울,단독,다가구,동수,122
2011-03,서울,단독,다가구,가구수,757
2011-03,서울,다세대,다세대,다세대,3,034
2011-03,서울,연립,연립,연립,55
2011-03,서울,아파트,아파트,아파트,5,451
2011-03,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,478
2011-03,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,733
2011-03,인천,단독,단독,단독,88
2011-03,인천,단독,다가구,동수,64
2011-03,인천,단독,다가구,가구수,319
2011-03,인천,다세대,다세대,다세대,883
2011-03,인천,연립,연립,연립,72
2011-03,인천,아파트,아파트,아파트,371
2011-03,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6,815
2011-03,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8,943
2011-03,경기,단독,단독,단독,914
2011-03,경기,단독,다가구,동수,468
2011-03,경기,단독,다가구,가구수,2,596
2011-03,경기,다세대,다세대,다세대,1,893
2011-03,경기,연립,연립,연립,68
2011-03,경기,아파트,아파트,아파트,3,472
2011-03,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12,432
2011-03,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),25,250
2011-03,지방소계,단독,단독,단독,3,811
2011-03,지방소계,단독,다가구,동수,1,777
