"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2012,"이시찬","한화",60,47,41,8,0,16,4,3,8,9,0.235,0.195,0.244,0.22,0.464,0.223,-0.21
2012,"홍재호","KIA",55,107,92,17,1,13,6,11,22,1,0.232,0.185,0.272,0.25,0.522,0.251,-0.21
2012,"손인호","LG",4,8,8,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.21
2012,"채태인","삼성",54,159,135,28,1,15,9,21,35,1,0.27,0.207,0.321,0.281,0.602,0.296,-0.22
2012,"김태군","LG",100,176,149,30,0,7,14,9,24,0,0.24,0.201,0.27,0.215,0.485,0.239,-0.22
2012,"이정식","삼성",45,64,53,8,0,4,1,7,19,0,0.235,0.151,0.262,0.151,0.413,0.221,-0.22
2012,"연경흠","한화",42,71,62,11,1,3,5,9,16,0,0.222,0.177,0.282,0.258,0.54,0.259,-0.23
2012,"김상훈*","KIA",80,192,164,28,2,11,20,18,39,0,0.211,0.171,0.261,0.238,0.499,0.243,-0.23
2012,"이상훈","한화",17,28,25,3,0,3,0,1,3,1,0.136,0.12,0.214,0.12,0.334,0.179,-0.23
2012,"김재호","두산",84,200,177,38,0,23,11,16,31,3,0.26,0.215,0.287,0.249,0.536,0.262,-0.24
2012,"김문호","롯데",56,95,79,16,0,10,2,11,22,1,0.281,0.203,0.323,0.241,0.564,0.279,-0.24
2012,"오장훈","두산",10,19,18,2,0,0,0,1,6,0,0.167,0.111,0.158,0.167,0.325,0.156,-0.24
2012,"박윤","SK",7,20,17,3,0,0,2,0,3,0,0.2,0.176,0.167,0.235,0.402,0.173,-0.25
2012,"박경완","SK",8,23,20,2,0,0,0,1,6,0,0.143,0.1,0.143,0.1,0.243,0.124,-0.26
2012,"장영석","넥센",7,13,12,0,0,0,0,1,3,0,0,0,0.077,0,0.077,0.059,-0.26
2012,"조윤준","LG",23,47,46,9,0,2,4,0,12,0,0.265,0.196,0.196,0.217,0.413,0.188,-0.27
2012,"김헌곤","삼성",10,18,18,2,0,1,3,0,3,0,0.133,0.111,0.111,0.167,0.278,0.122,-0.27
2012,"이민재","LG",7,14,14,1,0,0,0,0,4,0,0.1,0.071,0.071,0.071,0.142,0.066,-0.27
2012,"서상우","LG",6,10,9,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.27
2012,"정진호","두산",46,84,75,17,0,14,5,6,13,8,0.27,0.227,0.289,0.253,0.542,0.262,-0.28
2012,"정범모","한화",72,192,170,30,3,17,13,13,55,7,0.239,0.176,0.238,0.288,0.526,0.246,-0.29
