월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-09,광주,단독,단독,단독,34
2010-09,광주,단독,다가구,동수,48
2010-09,광주,단독,다가구,가구수,444
2010-09,광주,다세대,다세대,다세대,0
2010-09,광주,연립,연립,연립,0
2010-09,광주,아파트,아파트,아파트,0
2010-09,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,040
2010-09,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,951
2010-09,대전,단독,단독,단독,39
2010-09,대전,단독,다가구,동수,90
2010-09,대전,단독,다가구,가구수,1,001
2010-09,대전,다세대,다세대,다세대,14
2010-09,대전,연립,연립,연립,0
2010-09,대전,아파트,아파트,아파트,897
2010-09,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),158
2010-09,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),674
2010-09,울산,단독,단독,단독,64
2010-09,울산,단독,다가구,동수,90
2010-09,울산,단독,다가구,가구수,606
2010-09,울산,다세대,다세대,다세대,4
2010-09,울산,연립,연립,연립,0
2010-09,울산,아파트,아파트,아파트,0
2010-09,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7,228
2010-09,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),11,717
2010-09,기타지방,단독,단독,단독,2,034
2010-09,기타지방,단독,다가구,동수,619
2010-09,기타지방,단독,다가구,가구수,5,108
2010-09,기타지방,다세대,다세대,다세대,112
2010-09,기타지방,연립,연립,연립,13
2010-09,기타지방,아파트,아파트,아파트,4,450
2010-09,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),775
2010-09,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),986
2010-09,강원,단독,단독,단독,255
2010-09,강원,단독,다가구,동수,66
2010-09,강원,단독,다가구,가구수,277
2010-09,강원,다세대,다세대,다세대,19
2010-09,강원,연립,연립,연립,0
2010-09,강원,아파트,아파트,아파트,435
2010-09,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),912
2010-09,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,408
2010-09,충북,단독,단독,단독,174
2010-09,충북,단독,다가구,동수,67
2010-09,충북,단독,다가구,가구수,563
2010-09,충북,다세대,다세대,다세대,0
2010-09,충북,연립,연립,연립,0
2010-09,충북,아파트,아파트,아파트,671
2010-09,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,707
2010-09,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,564
2010-09,충남,단독,단독,단독,309
2010-09,충남,단독,다가구,동수,78
2010-09,충남,단독,다가구,가구수,935
2010-09,충남,다세대,다세대,다세대,16
2010-09,충남,연립,연립,연립,0
2010-09,충남,아파트,아파트,아파트,1,304
2010-09,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),374
2010-09,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,036
2010-09,전북,단독,단독,단독,263
2010-09,전북,단독,다가구,동수,83
2010-09,전북,단독,다가구,가구수,745
2010-09,전북,다세대,다세대,다세대,8
2010-09,전북,연립,연립,연립,1
2010-09,전북,아파트,아파트,아파트,19
2010-09,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),983
2010-09,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,161
2010-09,전남,단독,단독,단독,294
2010-09,전남,단독,다가구,동수,30
2010-09,전남,단독,다가구,가구수,208
2010-09,전남,다세대,다세대,다세대,0
2010-09,전남,연립,연립,연립,12
2010-09,전남,아파트,아파트,아파트,647
2010-09,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),509
2010-09,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,546
2010-09,경북,단독,단독,단독,384
2010-09,경북,단독,다가구,동수,100
2010-09,경북,단독,다가구,가구수,1,137
2010-09,경북,다세대,다세대,다세대,8
2010-09,경북,연립,연립,연립,0
2010-09,경북,아파트,아파트,아파트,17
2010-09,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,837
2010-09,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,820
2010-09,경남,단독,단독,단독,301
2010-09,경남,단독,다가구,동수,181
2010-09,경남,단독,다가구,가구수,1,164
2010-09,경남,다세대,다세대,다세대,26
2010-09,경남,연립,연립,연립,0
2010-09,경남,아파트,아파트,아파트,1,329
2010-09,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),131
2010-09,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),196
2010-09,제주,단독,단독,단독,54
2010-09,제주,단독,다가구,동수,14
2010-09,제주,단독,다가구,가구수,79
2010-09,제주,다세대,다세대,다세대,35
2010-09,제주,연립,연립,연립,0
2010-09,제주,아파트,아파트,아파트,28
2010-09,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),
2010-09,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),
2010-09,세종,단독,단독,단독,
2010-09,세종,단독,다가구,동수,
2010-09,세종,단독,다가구,가구수,
2010-09,세종,다세대,다세대,다세대,
2010-09,세종,연립,연립,연립,
2010-09,세종,아파트,아파트,아파트,
2010-10,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),32,676
2010-10,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),41,394
2010-10,총계,단독,단독,단독,3,148
2010-10,총계,단독,다가구,동수,1,356
2010-10,총계,단독,다가구,가구수,10,074
2010-10,총계,다세대,다세대,다세대,3,464
2010-10,총계,연립,연립,연립,537
2010-10,총계,아파트,아파트,아파트,24,171
2010-10,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),18,433
2010-10,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),20,172
2010-10,수도권소계,단독,단독,단독,733
2010-10,수도권소계,단독,다가구,동수,400
2010-10,수도권소계,단독,다가구,가구수,2,139
2010-10,수도권소계,다세대,다세대,다세대,2,820
2010-10,수도권소계,연립,연립,연립,449
2010-10,수도권소계,아파트,아파트,아파트,14,031
2010-10,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,963
2010-10,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,244
2010-10,서울,단독,단독,단독,124
2010-10,서울,단독,다가구,동수,53
2010-10,서울,단독,다가구,가구수,334
2010-10,서울,다세대,다세대,다세대,1,489
2010-10,서울,연립,연립,연립,10
2010-10,서울,아파트,아파트,아파트,287
2010-10,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4,420
2010-10,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4,682
2010-10,인천,단독,단독,단독,63
2010-10,인천,단독,다가구,동수,49
2010-10,인천,단독,다가구,가구수,311
2010-10,인천,다세대,다세대,다세대,552
2010-10,인천,연립,연립,연립,62
2010-10,인천,아파트,아파트,아파트,3,694
2010-10,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12,050
2010-10,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),13,246
2010-10,경기,단독,단독,단독,546
2010-10,경기,단독,다가구,동수,298
2010-10,경기,단독,다가구,가구수,1,494
2010-10,경기,다세대,다세대,다세대,779
2010-10,경기,연립,연립,연립,377
2010-10,경기,아파트,아파트,아파트,10,050
2010-10,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),14,243
2010-10,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),21,222
2010-10,지방소계,단독,단독,단독,2,415
2010-10,지방소계,단독,다가구,동수,956
2010-10,지방소계,단독,다가구,가구수,7,935
2010-10,지방소계,다세대,다세대,다세대,644
2010-10,지방소계,연립,연립,연립,88
2010-10,지방소계,아파트,아파트,아파트,10,140
2010-10,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5,318
2010-10,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),7,578
2010-10,기타광역시,단독,단독,단독,197
2010-10,기타광역시,단독,다가구,동수,283
2010-10,기타광역시,단독,다가구,가구수,2,543
2010-10,기타광역시,다세대,다세대,다세대,343
2010-10,기타광역시,연립,연립,연립,0
2010-10,기타광역시,아파트,아파트,아파트,4,495
2010-10,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),455
2010-10,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),913
2010-10,부산,단독,단독,단독,55
2010-10,부산,단독,다가구,동수,50
2010-10,부산,단독,다가구,가구수,508
2010-10,부산,다세대,다세대,다세대,336
2010-10,부산,연립,연립,연립,0
2010-10,부산,아파트,아파트,아파트,14
2010-10,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),96
2010-10,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),473
2010-10,대구,단독,단독,단독,28
2010-10,대구,단독,다가구,동수,61
2010-10,대구,단독,다가구,가구수,438
2010-10,대구,다세대,다세대,다세대,7
2010-10,대구,연립,연립,연립,0
2010-10,대구,아파트,아파트,아파트,0
2010-10,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,185
2010-10,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,427
2010-10,광주,단독,단독,단독,31
2010-10,광주,단독,다가구,동수,38
2010-10,광주,단독,다가구,가구수,280
2010-10,광주,다세대,다세대,다세대,0
2010-10,광주,연립,연립,연립,0
2010-10,광주,아파트,아파트,아파트,1,116
2010-10,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,675
2010-10,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3,466
2010-10,대전,단독,단독,단독,43
2010-10,대전,단독,다가구,동수,73
2010-10,대전,단독,다가구,가구수,864
2010-10,대전,다세대,다세대,다세대,0
2010-10,대전,연립,연립,연립,0
2010-10,대전,아파트,아파트,아파트,2,559
